DTI PREDICTION SCORES:
Accuracy: 0.8036
F1-Score: 0.5795
ROC-AUC:  0.7983

ADR PREDICTION REGRESSION SCORES:
MSE: 0.0005
MAE: 0.0107
R2: -0.8845

Per-ADR Regression Metrics:
meddra_10001609: MSE=0.0002, MAE=0.0092, R2=0.0000
meddra_10001680: MSE=0.0006, MAE=0.0112, R2=-0.3908
meddra_10001682: MSE=0.0002, MAE=0.0074, R2=-5.0726
meddra_10001684: MSE=0.0003, MAE=0.0112, R2=0.0000
meddra_10001689: MSE=0.0003, MAE=0.0087, R2=0.0000
meddra_10001711: MSE=0.0003, MAE=0.0099, R2=-2.4681
meddra_10001715: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10001717: MSE=0.0003, MAE=0.0107, R2=0.0000
meddra_10001718: MSE=0.0036, MAE=0.0236, R2=-0.0154
meddra_10001723: MSE=0.0002, MAE=0.0091, R2=0.0000
meddra_10001729: MSE=0.0011, MAE=0.0115, R2=-0.1651
meddra_10001736: MSE=0.0002, MAE=0.0097, R2=0.0000
meddra_10001738: MSE=0.0010, MAE=0.0150, R2=-0.4074
meddra_10001739: MSE=0.0002, MAE=0.0075, R2=0.0000
meddra_10001760: MSE=0.0016, MAE=0.0274, R2=-0.4634
meddra_10001763: MSE=0.0004, MAE=0.0120, R2=0.0000
meddra_10001850: MSE=0.0002, MAE=0.0091, R2=0.0000
meddra_10001852: MSE=0.0002, MAE=0.0095, R2=0.0000
meddra_10001889: MSE=0.0002, MAE=0.0085, R2=-1.3842
meddra_10001890: MSE=0.0002, MAE=0.0080, R2=0.0000
meddra_10001896: MSE=0.0004, MAE=0.0113, R2=-4.0688
meddra_10001906: MSE=0.0005, MAE=0.0137, R2=-1.6744
meddra_10001916: MSE=0.0003, MAE=0.0107, R2=0.0000
meddra_10001927: MSE=0.0003, MAE=0.0097, R2=-0.8089
meddra_10001928: MSE=0.0002, MAE=0.0087, R2=-1.1769
meddra_10001939: MSE=0.0003, MAE=0.0105, R2=0.0000
meddra_10001949: MSE=0.0015, MAE=0.0200, R2=-0.2262
meddra_10001971: MSE=0.0002, MAE=0.0077, R2=0.0000
meddra_10001977: MSE=0.0001, MAE=0.0053, R2=0.0000
meddra_10002034: MSE=0.0017, MAE=0.0256, R2=-0.1297
